title,iconImageUrl,website,description,id
"Stack Overflow","https://cdn.sstatic.net/Sites/stackoverflow/img/favicon.ico","https://stackoverflow.com","professional and enthusiast programmers",0
"Server Fault","https://cdn.sstatic.net/Sites/serverfault/img/favicon.ico",https://serverfault.com,"system and network administrators",0
"Super User","https://cdn.sstatic.net/Sites/superuser/img/favicon.ico",https://superuser.com,"computer enthusiasts and power users",0
"Web Applications","https://cdn.sstatic.net/Sites/webapps/img/favicon.ico","https://webapps.stackexchange.com","power users of web applications",0
Arqade,"https://cdn.sstatic.net/Sites/gaming/img/favicon.ico","https://gaming.stackexchange.com","passionate videogamers on all platforms",0
Webmasters,"https://cdn.sstatic.net/Sites/webmasters/img/favicon.ico","https://webmasters.stackexchange.com","pro webmasters",0
"Seasoned Advice","https://cdn.sstatic.net/Sites/cooking/img/favicon.ico","https://cooking.stackexchange.com","professional and amateur chefs",0
"Game Development","https://cdn.sstatic.net/Sites/gamedev/img/favicon.ico","https://gamedev.stackexchange.com","professional and independent game developers",0
Photography,"https://cdn.sstatic.net/Sites/photo/img/favicon.ico","https://photo.stackexchange.com","professional, enthusiast and amateur photographers",0
"Cross Validated","https://cdn.sstatic.net/Sites/stats/img/favicon.ico","https://stats.stackexchange.com","people interested in statistics, machine learning, data analysis, data mining, and data visualization",0
Mathematics,"https://cdn.sstatic.net/Sites/math/img/favicon.ico","https://math.stackexchange.com","people studying math at any level and professionals in related fields",0
